problem,candidate,is_final,archived_status,archived_mismatches,arch_build_ok,sim_result,mismatches,samples,wall_time_s,sv_identical,outcome_changed
Prob111_fsm2s,Prob111_fsm2s,True,pass,0,True,pass,0,241,0.10,True,False
Prob112_always_case2,Prob112_always_case2,True,pass,0,True,pass,0,94,0.10,True,False
Prob113_2012_q1g,Prob113_2012_q1g,True,pass,0,True,pass,0,100,0.10,True,False
Prob114_bugs_case,Prob114_bugs_case,True,pass,0,True,pass,0,1041,0.10,True,False
Prob115_shift18,Prob115_shift18,True,pass,0,True,pass,0,4041,0.11,True,False
Prob116_m2014_q3,Prob116_m2014_q3,True,pass,0,True,pass,0,100,0.10,True,False
Prob117_circuit9,Prob117_circuit9,True,pass,0,True,pass,0,245,0.10,True,False
Prob118_history_shift,Prob118_history_shift,True,pass,0,True,pass,0,2055,0.11,True,False
Prob119_fsm3,Prob119_fsm3,True,pass,0,True,pass,0,230,0.10,True,False
Prob120_fsm3s,Prob120_fsm3s,True,pass,0,True,pass,0,230,0.09,True,False
Prob121_2014_q3bfsm,Prob121_2014_q3bfsm,True,pass,0,True,pass,0,1006,0.10,True,False
Prob122_kmap4,Prob122_kmap4,True,pass,0,True,pass,0,232,0.10,True,False
Prob123_bugs_addsubz,Prob123_bugs_addsubz,True,pass,0,True,pass,0,118,0.10,True,False
Prob124_rule110,Prob124_rule110,True,pass,0,True,pass,0,6283,0.25,True,False
Prob125_kmap3,Prob125_kmap3,True,pass,0,True,pass,0,232,0.10,True,False
Prob126_circuit6,Prob126_circuit6,True,pass,0,True,pass,0,113,0.10,True,False
Prob127_lemmings1,Prob127_lemmings1,True,pass,0,True,pass,0,229,0.10,True,False
Prob128_fsm_ps2,Prob128_fsm_ps2,True,pass,0,True,pass,0,400,0.10,True,False
Prob129_ece241_2013_q8,Prob129_ece241_2013_q8,True,pass,0,True,pass,0,440,0.10,True,False
Prob130_circuit5,Prob130_circuit5,True,pass,0,True,pass,0,141,0.10,True,False
Prob131_mt2015_q4,Prob131_mt2015_q4,True,pass,0,True,pass,0,200,0.10,True,False
Prob132_always_if2,Prob132_always_if2,True,pass,0,True,pass,0,121,0.10,True,False
Prob133_2014_q3fsm,Prob133_2014_q3fsm,True,pass,0,True,pass,0,1414,0.10,True,False
Prob134_2014_q3c,Prob134_2014_q3c,True,pass,0,True,pass,0,200,0.10,True,False
Prob135_m2014_q6b,Prob135_m2014_q6b,True,pass,0,True,pass,0,100,0.09,True,False
Prob136_m2014_q6,Prob136_m2014_q6,True,pass,0,True,pass,0,200,0.10,True,False
Prob137_fsm_serial,Prob137_fsm_serial,True,pass,0,True,pass,0,905,0.10,True,False
Prob138_2012_q2fsm,Prob138_2012_q2fsm,True,pass,0,True,pass,0,400,0.09,True,False
Prob139_2013_q2bfsm,Prob139_2013_q2bfsm,True,pass,0,True,pass,0,1002,0.11,True,False
Prob140_fsm_hdlc,Prob140_fsm_hdlc,True,pass,0,True,pass,0,801,0.10,True,False
Prob141_count_clock,Prob141_count_clock,True,pass,0,True,pass,0,200000,0.63,True,False
Prob142_lemmings2,Prob142_lemmings2,True,pass,0,True,pass,0,441,0.10,True,False
Prob143_fsm_onehot,Prob143_fsm_onehot,True,pass,0,True,pass,0,224,0.10,True,False
Prob144_conwaylife,Prob144_conwaylife,True,pass,0,True,pass,0,5023,1.67,False,False
Prob145_circuit8,Prob145_circuit8,True,pass,0,True,pass,0,240,0.10,True,False
Prob146_fsm_serialdata,Prob146_fsm_serialdata,True,pass,0,True,pass,0,905,0.10,True,False
Prob147_circuit10,Prob147_circuit10,True,pass,0,True,pass,0,232,0.10,True,False
Prob148_2013_q2afsm,Prob148_2013_q2afsm,True,pass,0,True,pass,0,1054,0.10,True,False
Prob149_ece241_2013_q4,repair_attempt_01,True,pass,0,True,pass,0,2040,0.10,True,False
Prob150_review2015_fsmonehot,Prob150_review2015_fsmonehot,True,pass,0,True,pass,0,300,0.10,True,False
Prob151_review2015_fsm,Prob151_review2015_fsm,True,pass,0,True,pass,0,5069,0.11,True,False
Prob152_lemmings3,Prob152_lemmings3,True,pass,0,True,pass,0,443,0.10,True,False
Prob153_gshare,Prob153_gshare,True,pass,0,True,pass,0,1083,0.11,True,False
Prob154_fsm_ps2data,Prob154_fsm_ps2data,True,pass,0,True,pass,0,1619,0.10,True,False
Prob155_lemmings4,Prob155_lemmings4,True,pass,0,True,pass,0,1003,0.10,True,False
Prob156_review2015_fancytimer,Prob156_review2015_fancytimer,True,pass,0,True,pass,0,200000,0.53,True,False
